SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
LINC00423	5.133229312	5.016565419	5.146229267	5.016565419	4.904290259	5.088744131	4.845952722
INSL6	5.099943916	4.998978527	5.174272183	5.014637532	4.758404965	5.148840753	5.014637532
HIST1H2BL	5.303833847	4.760174915	5.209691508	5.314464098	5.112369638	4.961389605	4.779683079
CCDC129	5.357306228	5.104465582	5.139656064	5.107168462	5.006812371	5.003444259	4.86940448
LINC00555	5.013036892	5.250332627	5.254296395	4.970969623	4.919445361	5.035827529	4.961544137
ZNF208	4.471579672	4.330620226	4.04508333	3.728881724	4.365334251	4.408026721	8.021539053
ARHGAP28	4.58995785	4.86865756	4.815147161	4.40238703	5.025110183	4.929725867	5.954053487
SCNN1B	5.272684113	4.993648694	5.041964327	4.719126401	4.772515683	4.993648694	4.993648694
REG3A	5.228934636	4.975899188	4.964119493	5.384991458	5.111596142	4.82239333	4.854979698
HAL	5.144868631	4.728522355	5.013699145	5.078952418	4.906033717	5.152661217	5.05938502
ANKRD55	4.888638447	4.93134121	5.088836272	4.964745589	4.993648694	4.872419846	5.01216058
FAM151A	5.211377911	4.834388381	4.99880459	5.085020558	5.003980945	5.126076785	4.969095917
TBX18	5.060770633	4.799359931	5.098632623	5.275993809	4.964039974	4.820566741	4.939827283
LOC102723831	5.123181083	4.876217494	5.206712914	5.083239928	4.966846749	5.00666735	4.872538549
LOC100128185	5.346357095	4.966574368	5.001506075	5.142006408	4.892756784	4.966574368	4.751920762
CER1	5.342305026	4.922024477	5.082994943	5.013699145	5.210624503	5.013699145	5.097074541
ANKLE1	5.220678108	4.904198439	5.093006538	5.185531078	4.939827283	4.958610571	4.857182309
